Company,Company Info,Region,Focus,Company Size,Raised Funding,Recent Developments,Partnerships,Media Mentions,Humanoid Robotics Use Case,Single Use Cases,Task Streamlining,Project Launch Date,Relevancy Score,Correlation Reason,Article Name,Article Summary,Article Date,Article Url
Agility Robotics,Develops legged robots with bipedal locomotion for logistics and material handling industries.,United States,Legged delivery robots,Medium,Over $100M,"Digit robot featured prominently in new logistics applications, with increased deployment in warehouse automation.",Collaborations with DHL and automotive suppliers,8,Yes; Digit is a bipedal humanoid robot designed to navigate human environments for delivery tasks.,Yes; focused mainly on logistics and material handling streamlining.,"Logistics, warehouse transport",TBD,4,A. Partially overlaps with facility logistics automation but not core janitorial or HVAC services. B. Aligns well with smart facility automation strategies involving robotics. C. Offers unique bipedal mobility but mostly logistics-focused rather than broad facility service robots. D. Commercially ready and deployed in warehouses. ,Top 10 robotics developments of February 2025 - The Robot Report,Highlights significant robotics advances for February 2025 including humanoids and AI applications with industry impacts.,"March 3, 2025",https://www.therobotreport.com/top-10-robotics-developments-of-february-2025/
Nuro,Develops autonomous delivery vehicles serving last-mile delivery in retail and logistics industries.,USA,Autonomous delivery robots,Medium,Over $1 billion,"Expanded deployments in California and Texas, ongoing real-world autonomous deliveries for over four years.",Partnerships with major retailers and grocery chains,10,No - Focuses on autonomous non-humanoid delivery vehicles.,Yes - Primarily last-mile delivery of goods.,Autonomous delivery of parcels and groceries,TBD,3,"A. Limited overlap as Nuro is focused on delivery, not facility services like HVAC or janitorial. B. Indirect relevance since autonomous robotics aligns with smart automation trends. C. Technological innovation in autonomous navigation is strong but not focused on facility operations. D. Commercially ready with real deployments, but not directly applicable to ABM facilities operations.","Brianna Wessling, Author at The Robot Report",Overview of robotics companies including autonomous vehicle leaders like Nuro with real-world deployments in delivery.,April 2025,https://www.therobotreport.com/author/bwessling/
Avidbots,Develops autonomous floor cleaning robots serving commercial and industrial facilities.,Canada,Autonomous floor cleaning robots,Medium,Not Disclosed,Launched new generation floor scrubber with improved AI and cloud connectivity in 2024,Multiple facility management companies; none specifically disclosed with ABM,10,No; focuses on wheeled autonomous floor care robots,Yes; floor cleaning only,Automates floor cleaning and scrubbing in commercial settings,TBD,5,A. Directly overlaps with ABM’s janitorial and sanitation services. B. Uses AI and cloud connectivity aligning with ABM’s smart facilities strategy. C. Offers commercially ready robotics innovation in facility operations. D. Established commercial deployments. Highly relevant.,2025 RBR50 Robotics Innovation Awards,Highlights top robotics innovators including those supporting autonomous cleaning and facility management robotics.,"April 11, 2025",https://www.therobotreport.com/2025-rbr50-robotics-innovation-awards
Brain Corp,Provides AI software enabling autonomy for commercial cleaning robots.,USA,AI autonomy software,Medium,$80M,Expanded partnerships with cleaning equipment manufacturers in 2024,Partners with manufacturers like Tennant and Nilfisk; no ABM partnership disclosed,8,No; focused on software for non-humanoid cleaning robots,Yes; software for floor cleaning robotics autonomy,Enables autonomous navigation and cleaning task execution,TBD,5,A. Supports ABM’s janitorial services through enabling autonomous cleaning. B. Strong AI software fits ABM’s smart facility automation goals. C. Proven commercial tech broadly adopted. D. Commercial deployments worldwide.,2025 RBR50 Robotics Innovation Awards,Recognizes companies advancing autonomous cleaning robotics with scalable AI solutions.,"April 11, 2025",https://www.therobotreport.com/2025-rbr50-robotics-innovation-awards
Tennant Company,"Manufacturer of floor cleaning equipment, increasingly integrating autonomous robotics.",USA,Autonomous cleaning machines,Large,Public company,Expanded fleet of autonomous scrubbers with improved sensors and cloud management in 2024,Partnered with Brain Corp for autonomy technology,12,No; industrial floor-cleaning robots,Yes; floor cleaning,Automates floor cleaning in commercial facilities,TBD,5,A. Direct overlap with ABM janitorial and cleaning services. B. Uses smart systems and cloud integration aligning with ABM strategy. C. Commercially mature products with ongoing innovation. D. Widely deployed autonomous cleaning robots.,2025 RBR50 Robotics Innovation Awards,Awards top robotics companies advancing autonomous cleaning technologies.,"April 11, 2025",https://www.therobotreport.com/2025-rbr50-robotics-innovation-awards
Savioke,Develops delivery service robots for hospitality and commercial buildings.,USA,Delivery service robots,Small,Not Disclosed,Expanded commercial deployments in hotels and hospitals in 2024,Hospitality partners; no ABM partnerships noted,5,No; wheeled delivery robots,Yes; autonomous delivery,Automates item delivery within buildings,TBD,3,"A. Partial overlap in commercial building services (delivery), adjacent to facility management. B. Uses IoT and AI aligning with smart building strategies. C. Innovative for delivery but not core facility tasks for ABM. D. Commercially ready.",2025 RBR50 Robotics Innovation Awards,Highlights advanced robotics for commercial operations including delivery bots.,"April 11, 2025",https://www.therobotreport.com/2025-rbr50-robotics-innovation-awards
KUKA,KUKA is a global provider of industrial robots and automation solutions primarily serving manufacturing and facility automation industries.,Germany,"Robotic system software, industrial automation",Large,Not Disclosed,Launched the KUKA System Software (KSS) integrating advanced tech stacks and web technologies to enable new possibilities in robotic systems.,None,5,"No. Focus is on industrial and facility robot systems, not humanoid robots.",No. Offers integrated robotic system solutions rather than single-use robots.,"Facility automation, industrial operations",TBD,4,"A. KUKA’s robotics for facility automation overlaps with ABM’s building maintenance and smart automation services. B. Their focus on system software and integrated robotics aligns with ABM’s strategy on smart facilities, IoT, and AI dashboards. C. KUKA offers advanced robotics innovation at system integration and software levels. D. Their technology is commercially ready and deployed globally. This makes KUKA relevant for strategic facility robotics partnerships or implementations. ",KUKA advances robotic system software integrative capabilities,KUKA announced the launch of its new system software combining latest tech stacks and web technologies to enhance robotic system capabilities.,"April 27, 2025",https://www.therobotreport.com/kuka-advances-robotic-system-software-integrative-capabilities
NVIDIA,Technology company offering GPUs and AI computing platforms; serves multiple industries including robotics and AI,USA,AI computing platforms for robotics,Large,Public company,Hosted GTC conference with new robotics-related AI announcements in March 2025,None explicitly stated,8,No - provides AI hardware/software enabling robotics but does not produce humanoids,No - Provides platforms for various robotics domains,Supports robotics tasks through AI processing,TBD,3,A. Indirect overlap via enabling smart building systems. B. Aligns with ABM’s strategy for AI dashboards and smart automation. C. Offers significant AI innovation supporting robotics. D. Technologies are commercially ready and widely deployed.,Top 10 robotics developments of March 2025 - The Robot Report,Summary of robotics developments in March 2025 with focus on events like NVIDIA GTC introducing new AI robotics tech.,"April 1, 2025",https://www.therobotreport.com/top-10-robotics-developments-of-march-2025/
Agility Robotics,Developer of humanoid robots for logistics and material handling industries,USA,Humanoid robots for material handling,Medium,$200M+,Released new version of humanoid robot Digit with enhanced capabilities in March 2025,Partnership with Ford for logistics applications,10,Yes - humanoid robots designed for facility material handling tasks,Yes - focused primarily on logistics and material handling,"Item picking, package handling, intralogistics",Ongoing commercial deployments,4,A. Partial overlap - facility logistics but not janitorial or HVAC. B. Aligns with smart robotics for facility operations. C. Provides unique humanoid robotics innovation. D. Commercially ready with deployed pilots and early users.,Top 10 robotics developments of March 2025 - The Robot Report,Highlights of robotics advancements including Agility Robotics’ updated humanoid Digit for logistics.,"April 1, 2025",https://www.therobotreport.com/top-10-robotics-developments-of-march-2025/
Locus Robotics,Robotics company specializing in autonomous mobile robots for warehouse automation,USA,Warehouse autonomous mobile robots,Medium,$150M+,Expanded fleet capabilities and AI navigation enhancements announced in March 2025,Integration partnerships with warehouse management software providers,7,No,Yes - focused on autonomous warehouse logistics robots,"Inventory transport, order picking support",Commercial systems in deployment,3,A. Partial overlap to facility logistics but not janitorial or HVAC services. B. Aligns with robotic automation in facility operations. C. Moderate robotics innovation in AMR tech. D. Technology is commercially available and deployed.,Top 10 robotics developments of March 2025 - The Robot Report,Warehouse robotics advancements with Locus Robotics improving autonomous fleet intelligence.,"April 1, 2025",https://www.therobotreport.com/top-10-robotics-developments-of-march-2025/
